0,John Green,What is the point of being alive if you don’t at least try to do something remarkable?
1,Nicola Yoon,Everything’s a risk. Not doing anything is a risk. It’s up to you.
2,J.R.R. Tolkien,All we have to decide is what to do with the time that is given us.
3,J.R.R. Tolkien,"There is some good in this world, and it’s worth fighting for."
4,Angie Thomas,Brave doesn’t mean you’re not scared. It means you go on even though you’re scared.
5,Norton Juster,So many things are possible just as long as you don’t know they’re impossible.
6,John Green,"If you don’t imagine, nothing ever happens at all."
7,Nicola Yoon,Life is a gift. Don’t forget to live it.
8,Glennon Doyle,This life is mine alone. So I have stopped asking people for directions to places they’ve never been.
9,Lemony Snicket,"If we wait until we’re ready, we’ll be waiting for the rest of our lives."
10,John Green,It is so hard to leave — until you leave. And then it is the easiest goddamned thing in the world.
11,Nicola Yoon,"Sometimes your world shakes so hard, it’s difficult to imagine that everyone else isn’t feeling it too."
12,Lewis Carroll,"It’s no use going back to yesterday, because I was a different person then."
13,Lewis Carroll,"I know who I was when I got up this morning, but I think I must have been changed several times since then."
14,Lewis Carroll,If you don’t know where you are going any road can take you there.
15,Haruki Murakami,Memories warm you up from the inside. But they also tear you apart.